,train,test,fitted,forecast,ci_lower,ci_upper
2020-09-06,1.79651,,0.0,,,
2020-09-13,1.68315,,1.7602707530003998,,,
2020-09-20,1.68321,,1.2997302745952608,,,
2020-09-27,1.66627,,1.743634531983311,,,
2020-10-04,1.72561,,1.7732436198474877,,,
2020-10-11,1.89854,,1.7087202870664449,,,
2020-10-18,1.68567,,1.8425603850753218,,,
2020-10-25,1.75161,,1.636397021848142,,,
2020-11-01,1.62917,,1.8437324019198458,,,
2020-11-08,1.94451,,1.619909800442359,,,
2020-11-15,1.88236,,1.9536491451770723,,,
2020-11-22,2.2012,,1.773889733180559,,,
2020-11-29,2.21917,,2.2162135999976593,,,
2020-12-06,2.20708,,2.135901970022252,,,
2020-12-13,2.36603,,2.1995203643589227,,,
2020-12-20,2.57525,,2.390599031135907,,,
2020-12-27,2.44879,,2.514491305642201,,,
2021-01-03,2.602165,,2.3724490762181043,,,
2021-01-10,2.75554,,2.6635239675817304,,,
2021-01-17,2.62637,,2.716859288402841,,,
2021-01-24,2.32199,,2.5585948822694364,,,
2021-01-31,2.0798,,2.389479836713715,,,
2021-02-07,2.00613,,2.211898782219147,,,
2021-02-14,1.82437,,2.070282356453501,,,
2021-02-21,1.60683,,1.8148729057150146,,,
2021-02-28,1.53093,,1.6590281267498004,,,
2021-03-07,1.51499,,1.6114100400360758,,,
2021-03-14,1.63281,,1.5245660247332102,,,
2021-03-21,1.63212,,1.6118061381662054,,,
2021-03-28,1.45254,,1.5880792192597346,,,
2021-04-04,1.64429,,1.4650434681124391,,,
2021-04-11,1.67968,,1.7156800959594447,,,
2021-04-18,1.8644,,1.6042962266016683,,,
2021-04-25,1.92888,,1.8289336563099832,,,
2021-05-02,2.20333,,1.8843990954832825,,,
2021-05-09,2.41376,,2.1850402124000503,,,
2021-05-16,2.42034,,2.3239597418739186,,,
2021-05-23,2.62991,,2.3535386352115526,,,
2021-05-30,2.48034,,2.6504532008966675,,,
2021-06-06,2.45639,,2.428116872793582,,,
2021-06-13,2.00959,,2.5062036789464575,,,
2021-06-20,1.86739,,2.043098931948306,,,
2021-06-27,1.80476,,2.0148095538766313,,,
2021-07-04,1.74347,,1.8422812520493035,,,
2021-07-11,1.82749,,1.7234018492857706,,,
2021-07-18,1.98566,,1.8369986903373419,,,
2021-07-25,2.41358,,1.9570857703521911,,,
2021-08-01,2.97688,,2.3443330301221788,,,
2021-08-08,3.36477,,2.820374442231229,,,
2021-08-15,4.67151,,3.17933128287309,,,
2021-08-22,5.12632,,4.551094322817158,,,
2021-08-29,4.40142,,4.706446065036893,,,
2021-09-05,4.24519,,5.049958458332475,,,
2021-09-12,3.55588,,4.5929807088772145,,,
2021-09-19,2.9104,,4.148031252748722,,,
2021-09-26,2.53302,,3.2742314923871123,,,
2021-10-03,2.3478,,2.939252161933564,,,
2021-10-10,2.41484,,2.5006544442304017,,,
2021-10-17,2.55923,,2.26406897216432,,,
2021-10-24,2.26014,,2.691900198069392,,,
2021-10-31,2.48776,,2.1252498716662167,,,
2021-11-07,2.94832,,2.787216207730187,,,
2021-11-14,3.87255,,2.775324356957736,,,
2021-11-21,3.96431,,4.013984037351153,,,
2021-11-28,3.53354,,3.7303503230572583,,,
2021-12-05,3.54167,,3.6136158419395823,,,
2021-12-12,3.73272,,3.7482503633617705,,,
2021-12-19,4.37392,,3.88378256555097,,,
2021-12-26,6.60335,,4.298701657905618,,,
2022-01-02,8.12271,,6.4855534556353565,,,
2022-01-09,5.98401,,7.458168028847132,,,
2022-01-16,4.98429,,5.564374033910546,,,
2022-01-23,3.84408,,5.48057312567107,,,
2022-01-30,2.71083,,3.952290989930183,,,
2022-02-06,2.17281,,2.912185083339233,,,
2022-02-13,1.90126,,2.3162173129025327,,,
2022-02-20,1.91797,,1.8966778179963624,,,
2022-02-27,1.67499,,1.903826476928263,,,
2022-03-06,1.51664,,1.6005256762644482,,,
2022-03-13,1.57499,,1.6260313130172686,,,
2022-03-20,1.65695,,1.632030538990308,,,
2022-03-27,1.76282,,1.5602182393870327,,,
2022-04-03,1.84521,,1.863714044329171,,,
2022-04-10,1.74842,,1.791930902253639,,,
2022-04-17,1.75185,,1.9311905607840179,,,
2022-04-24,1.87948,,1.8565872928741143,,,
2022-05-01,2.09057,,2.108918202248285,,,
2022-05-08,2.18588,,2.2310612261118945,,,
2022-05-15,2.63727,,2.212209738296871,,,
2022-05-22,2.66875,,2.7920494122735784,,,
2022-05-29,2.74184,,2.405974349989045,,,
2022-06-05,2.82324,,2.753229081991191,,,
2022-06-12,2.34099,,2.4611624473909384,,,
2022-06-19,2.21822,,2.2103442826663007,,,
2022-06-26,2.18801,,2.183127280407036,,,
2022-07-03,2.3278,,2.15198510586985,,,
2022-07-10,2.50887,,2.4069068141915477,,,
2022-07-17,2.44742,,2.569134786095492,,,
2022-07-24,2.54559,,2.716106573829369,,,
2022-07-31,2.5069,,3.130905694271211,,,
2022-08-07,2.4114,,2.968977840991779,,,
2022-08-14,3.00858,,3.4023266064980158,,,
2022-08-21,3.88255,,3.3519474577261854,,,
2022-08-28,3.78983,,3.5159194447705158,,,
2022-09-04,3.58842,,4.212934615761233,,,
2022-09-11,3.58241,,3.357806290338872,,,
2022-09-18,3.43385,,3.5129036700277165,,,
2022-09-25,4.26176,,3.297577355517019,,,
2022-10-02,4.87823,,4.531332776977617,,,
2022-10-09,5.43332,,5.149729356289798,,,
2022-10-16,5.89703,,5.209360701344946,,,
2022-10-23,5.93913,,6.042368382205193,,,
2022-10-30,8.56539,,5.911077117652312,,,
2022-11-06,9.15391,,9.66601752373741,,,
2022-11-13,7.85764,,9.133021828091543,,,
2022-11-20,6.38082,,7.222372270092864,,,
2022-11-27,6.80558,,6.153519982114537,,,
2022-12-04,6.03757,,7.581261835417111,,,
2022-12-11,5.31983,,5.771638744350397,,,
2022-12-18,4.72517,,4.9417999698281045,,,
2022-12-25,4.56847,,5.313156637227816,,,
2023-01-01,4.64459,,5.1721024809581255,,,
2023-01-08,3.67748,,3.9736136151352994,,,
2023-01-15,2.90179,,3.168192928233249,,,
2023-01-22,2.67728,,2.574381330900272,,,
2023-01-29,2.8563,,2.4010519488046214,,,
2023-02-05,2.93055,,2.735997718699174,,,
2023-02-12,3.07156,,2.7103253527226445,,,
2023-02-19,2.89633,,2.9960633277832547,,,
2023-02-26,2.67997,,2.772590075523396,,,
2023-03-05,2.3372,,2.5415239613169853,,,
2023-03-12,2.32315,,2.387909817991346,,,
2023-03-19,2.51165,,2.3754057291821957,,,
2023-03-26,2.64771,,2.465903813400985,,,
2023-04-02,2.4335,,2.852986813288279,,,
2023-04-09,2.27603,,2.2597815779732104,,,
2023-04-16,2.16881,,2.4036933282450526,,,
2023-04-23,1.99958,,2.288784734753322,,,
2023-04-30,2.03599,,2.1698441311888463,,,
2023-05-07,2.06906,,2.1483045373704672,,,
2023-05-14,2.34443,,2.1993698630509924,,,
2023-05-21,2.27985,,2.6085471507461464,,,
2023-05-28,2.1819,,2.046321591772945,,,
2023-06-04,2.31611,,2.1628289203734368,,,
2023-06-11,1.8236,,2.0003640896844557,,,
2023-06-18,1.57801,,1.6342385844729619,,,
2023-06-25,1.44232,,1.4127690579981693,,,
2023-07-02,1.28979,,1.4703013589747558,,,
2023-07-09,1.26187,,1.4015941898052122,,,
2023-07-16,1.33285,,1.2911397301359024,,,
2023-07-23,1.36278,,1.7053383690341466,,,
2023-07-30,1.53601,,1.7482099376433098,,,
2023-08-06,1.57495,,1.7369237320948803,,,
2023-08-13,2.2265,,2.716721869744533,,,
2023-08-20,3.2722,,2.6665646013071753,,,
2023-08-27,3.6187,,2.8798024884518254,,,
2023-09-03,3.38854,,3.7560129432446265,,,
2023-09-10,2.98887,,2.5709801416644518,,,
2023-09-17,3.06421,,2.380997227533611,,,
2023-09-24,3.3028,,3.2288354368579526,,,
2023-10-01,3.55848,,3.2782361620935,,,
2023-10-08,3.38029,,3.514487512867726,,,
2023-10-15,3.67356,,3.4578280061373565,,,
2023-10-22,3.70285,,3.6161365789238045,,,
2023-10-29,3.98794,,4.194022988305461,,,
2023-11-05,4.31912,,4.264578596838112,,,
2023-11-12,5.27009,,4.926769328313258,,,
2023-11-19,5.37248,,5.466767671383825,,,
2023-11-26,5.37711,,5.041043630897527,,,
2023-12-03,5.25129,,5.2671031937611135,,,
2023-12-10,5.77799,,5.374932171307227,,,
2023-12-17,7.57867,,6.422345201319921,,,
2023-12-24,10.2327,,9.744846593968568,,,
2023-12-31,11.0555,,11.56883582560971,,,
2024-01-07,8.26119,,8.832960195571397,,,
2024-01-14,7.18908,,7.132683914237498,,,
2024-01-21,6.29644,,6.476331981996751,,,
2024-01-28,6.76806,,5.437215850788455,,,
2024-02-04,6.30003,,6.579312592694224,,,
2024-02-11,6.11576,,5.964181337873438,,,
2024-02-18,5.22525,,5.979132617763207,,,
2024-02-25,4.62967,,4.836707246784907,,,
2024-03-03,4.16157,,4.458825456669587,,,
2024-03-10,3.61891,,4.220137082040942,,,
2024-03-17,3.48563,,3.502744553484295,,,
2024-03-24,3.26687,,3.5558881800049367,,,
2024-03-31,3.36151,,3.366523836736117,,,
2024-04-07,2.75193,,3.2663549147884634,,,
2024-04-14,2.53417,,2.5696065728939668,,,
2024-04-21,2.22846,,2.6145742249823583,,,
2024-04-28,2.15372,,2.4256137383093352,,,
2024-05-05,2.17868,,2.161167792694375,,,
2024-05-12,2.11294,,2.5793464493844525,,,
2024-05-19,2.07094,,2.058190045171469,,,
2024-05-26,1.9118,,2.1006333670663793,,,
2024-06-02,1.85954,,1.9881619988509467,,,
2024-06-09,1.75008,,1.3365161494264464,,,
2024-06-16,1.58066,,1.7480605949912693,,,
2024-06-23,1.41427,,1.5157942458014997,,,
2024-06-30,1.41602,,1.3853001899067072,,,
2024-07-07,1.34532,,1.5971560794999808,,,
2024-07-14,1.51086,,1.3122796970636716,,,
2024-07-21,1.77618,,1.6702562382789081,,,
