state,threshold,threshold_label,MAE,MSE,peak_timing_error,peak_magnitude_error
Alabama,0.0,0,1.1806243005338874,2.795825691408151,0,4.173162023219942
Alabama,0.25,1/4,2.428263283373182,8.65259762350645,0,5.9862578876454435
Alabama,0.33,1/3,2.428263283373182,8.65259762350645,0,5.9862578876454435
Alabama,0.5,1/2,1.6007666183209672,3.0475608492702775,0,3.1043134591040804
Alabama,0.67,2/3,1.6007666183209672,3.0475608492702775,0,3.1043134591040804
Alabama,0.75,3/4,2.4549292497326416,7.306827346268071,0,1.4129458184827346
Alaska,0.0,0,0.7357678197612086,0.9387523623745626,1,2.030873803213658
Alaska,0.25,1/4,1.2098267057078438,2.262241763490862,1,2.956682366210961
Alaska,0.33,1/3,1.2097903790398696,2.2621493659428498,1,2.956643727369825
Alaska,0.5,1/2,0.7376672186845293,0.9834851066121943,1,2.1060702022143745
Alaska,0.67,2/3,0.8470734577914966,1.2860995882223027,1,2.2441081137379855
Alaska,0.75,3/4,0.8055954979597193,0.9458540775650184,1,1.4932399376784398
Arizona,0.0,0,0.7345168630881881,0.9026692041428378,0,2.285252993063442
Arizona,0.25,1/4,1.0427102351028856,2.0904069766574382,0,3.127781893967897
Arizona,0.33,1/3,1.1410985796826325,2.3409147900491045,0,3.2215156363334763
Arizona,0.5,1/2,1.0995055932961113,2.205040354586733,0,3.1135345421662994
Arizona,0.67,2/3,0.9453881064292716,1.1552929888455847,0,2.197340181958051
Arizona,0.75,3/4,1.0223466192436752,1.3327292050740418,0,1.3036631197446855
Arkansas,0.0,0,0.8905601885952336,2.1879302889465464,10,4.61912054776151
Arkansas,0.25,1/4,2.239083811991343,7.30951286843664,5,6.310730247447239
Arkansas,0.33,1/3,1.0253832178041837,3.0191055014126724,5,4.9900156333974355
Arkansas,0.5,1/2,1.9712377368309606,4.616616363959718,5,3.1183611626523717
Arkansas,0.67,2/3,2.771616629889946,8.77138515453829,3,2.1371570798244512
Arkansas,0.75,3/4,3.129069311513505,10.343466713183947,3,1.5985401244984896
California,0.0,0,0.9744015488497615,2.5224522343989113,0,3.76448687641121
California,0.25,1/4,1.6033103814130023,4.898467286716296,0,4.456706459300161
California,0.33,1/3,2.5879405786487055,9.064762059904725,0,5.409684472814087
California,0.5,1/2,1.4526754632627732,2.643811228412151,0,2.572295747530961
California,0.67,2/3,1.4526745704584845,2.643809272176245,0,2.572296373513214
California,0.75,3/4,2.150632819553167,5.333745709942898,0,1.6777364600610891
Colorado,0.0,0,1.1761398530298792,3.3518093890633733,1,2.7270267929760443
Colorado,0.25,1/4,3.700730401522183,16.666624448469307,1,5.245853966694721
Colorado,0.33,1/3,2.427645418381445,8.538218461446023,1,3.888625875152024
Colorado,0.5,1/2,2.6139687900841695,9.351510834470583,1,3.8278726314669003
Colorado,0.67,2/3,1.783976083305834,3.432423009536345,0,1.687677344273676
Colorado,0.75,3/4,1.783976083227988,3.432423009250715,0,1.6876773452072245
Connecticut,0.0,0,0.9363742175171971,2.2959974793600666,6,2.656119878150294
Connecticut,0.25,1/4,1.2683597657909111,2.460081777265257,6,2.080856866264159
Connecticut,0.33,1/3,1.8365470675048563,5.892624681806914,6,3.8100465507105885
Connecticut,0.5,1/2,1.156427628722635,3.6548831818280756,6,3.002634250708497
Connecticut,0.67,2/3,2.0974159756204718,5.010643480047441,3,2.4219622253483903
Connecticut,0.75,3/4,3.127162527368891,11.171342495908641,32,1.2335293463193153
Delaware,0.0,0,0.6633059049129998,0.8857075063418478,6,1.8080709272498918
Delaware,0.25,1/4,0.7223685492128921,1.4935333116217875,6,2.5290690967404257
Delaware,0.33,1/3,0.7907639413022727,1.6516662475073502,6,2.621543708130633
Delaware,0.5,1/2,0.6798389777935523,1.3868203867644608,6,2.2599299445698033
Delaware,0.67,2/3,0.8621103322166926,0.8382482530827268,1,1.7191130678875952
Delaware,0.75,3/4,0.862114265084053,0.8382543521080419,1,1.7191117551389548
District of Columbia,0.0,0,1.7491900726619038,5.11802549800871,32,3.7895744206127926
District of Columbia,0.25,1/4,1.7491900726619038,5.11802549800871,32,3.7895744206127926
District of Columbia,0.33,1/3,1.741181183543211,5.175851869720509,32,4.024321447484555
District of Columbia,0.5,1/2,1.8327181290095051,6.190817616497039,13,5.086228670045678
District of Columbia,0.67,2/3,2.503869125091777,8.293938805192905,32,3.261735626807601
District of Columbia,0.75,3/4,3.8671944642292284,17.404814336370972,32,1.4507650588057146
Florida,0.0,0,1.0347230696075838,2.471353975428284,5,2.601137638026204
Florida,0.25,1/4,1.1488020421546383,2.9732329175323216,5,2.652565362964042
Florida,0.33,1/3,1.1963949939153686,3.206139558741221,5,2.746322895725336
Florida,0.5,1/2,1.2602816139587514,2.938632367566973,5,2.2816485767176955
Florida,0.67,2/3,1.5716431371598054,2.985081081340861,5,1.3932860318807512
Florida,0.75,3/4,1.5716334065522939,2.985051796404322,5,1.3932963796954958
Georgia,0.0,0,1.2011089136182,2.647694422767086,4,1.9066654145750297
Georgia,0.25,1/4,1.2011089136182,2.647694422767086,4,1.9066654145750297
