state,threshold,MAE
Alabama,0,1.180624301
Alabama,0.25,2.428263283
Alabama,0.33,2.428263283
Alabama,0.5,1.600766618
Alabama,0.67,1.600766618
Alabama,0.75,2.45492925
Alaska,0,0.73576782
Alaska,0.25,1.209826706
Alaska,0.33,1.209790379
Alaska,0.5,0.737667219
Alaska,0.67,0.847073458
Alaska,0.75,0.805595498
Arizona,0,0.734516863
Arizona,0.25,1.042710235
Arizona,0.33,1.14109858
Arizona,0.5,1.099505593
Arizona,0.67,0.945388106
Arizona,0.75,1.022346619
Arkansas,0,0.890560189
Arkansas,0.25,2.239083812
Arkansas,0.33,1.025383218
Arkansas,0.5,1.971237737
Arkansas,0.67,2.77161663
Arkansas,0.75,3.129069312
California,0,0.974401549
California,0.25,1.603310381
California,0.33,2.587940579
California,0.5,1.452675463
California,0.67,1.45267457
California,0.75,2.15063282
Colorado,0,1.176139853
Colorado,0.25,3.700730402
Colorado,0.33,2.427645418
Colorado,0.5,2.61396879
Colorado,0.67,1.783976083
Colorado,0.75,1.783976083
Connecticut,0,0.936374218
Connecticut,0.25,1.268359766
Connecticut,0.33,1.836547068
Connecticut,0.5,1.156427629
Connecticut,0.67,2.097415976
Connecticut,0.75,3.127162527
Delaware,0,0.663305905
Delaware,0.25,0.722368549
Delaware,0.33,0.790763941
Delaware,0.5,0.679838978
Delaware,0.67,0.862110332
Delaware,0.75,0.862114265
District of Columbia,0,1.749190073
District of Columbia,0.25,1.749190073
District of Columbia,0.33,1.741181184
District of Columbia,0.5,1.832718129
District of Columbia,0.67,2.503869125
District of Columbia,0.75,3.867194464
Florida,0,1.03472307
Florida,0.25,1.148802042
Florida,0.33,1.196394994
Florida,0.5,1.260281614
Florida,0.67,1.571643137
Florida,0.75,1.571633407
Georgia,0,1.201108914
Georgia,0.25,1.201108914
Georgia,0.33,2.036944164
Georgia,0.5,1.316268423
Georgia,0.67,1.374399964
Georgia,0.75,1.374399957
Hawaii,0,0.586618433
Hawaii,0.25,0.526915886
Hawaii,0.33,1.21785042
Hawaii,0.5,0.802189335
Hawaii,0.67,0.802189335
Hawaii,0.75,0.802189335
Idaho,0,1.624621533
Idaho,0.25,1.501030801
Idaho,0.33,1.541052306
Idaho,0.5,1.454219758
Idaho,0.67,1.454214959
Idaho,0.75,1.454216693
Illinois,0,0.735402973
Illinois,0.25,2.215218577
Illinois,0.33,1.366900612
Illinois,0.5,1.13902185
Illinois,0.67,1.113621554
Illinois,0.75,1.113703894
Indiana,0,0.946188753
Indiana,0.25,1.080169275
Indiana,0.33,1.935636503
Indiana,0.5,1.432900029
Indiana,0.67,2.975114518
Indiana,0.75,2.977710349
Iowa,0,0.710984719
Iowa,0.25,2.210381038
Iowa,0.33,2.210381038
Iowa,0.5,1.448833805
Iowa,0.67,2.563918674
Iowa,0.75,2.563918674
Kansas,0,1.314135817
Kansas,0.25,1.840813894
Kansas,0.33,1.62020848
Kansas,0.5,1.654771564
Kansas,0.67,2.75019538
Kansas,0.75,2.750193502
Kentucky,0,1.485784591
Kentucky,0.25,1.485784591
Kentucky,0.33,0.932146964
Kentucky,0.5,0.932163722
Kentucky,0.67,0.932163723
Kentucky,0.75,0.932163723
Louisiana,0,1.402565282
Louisiana,0.25,2.613717107
Louisiana,0.33,2.661056415
Louisiana,0.5,1.73734882
Louisiana,0.67,1.73734882
Louisiana,0.75,1.73734882
Maine,0,1.26977674
Maine,0.25,3.063595306
Maine,0.33,1.700851436
Maine,0.5,2.788545832
Maine,0.67,4.624625231
Maine,0.75,4.624625231
Maryland,0,1.039932532
Maryland,0.25,1.20274072
Maryland,0.33,1.378663067
Maryland,0.5,2.328422104
Maryland,0.67,4.619342915
Maryland,0.75,4.619342915
Massachusetts,0,1.391114347
Massachusetts,0.25,2.770310703
Massachusetts,0.33,2.415142811
Massachusetts,0.5,2.890759832
Massachusetts,0.67,8.447482089
Massachusetts,0.75,8.447431772
Michigan,0,1.209838078
Michigan,0.25,1.628177714
Michigan,0.33,1.628176937
Michigan,0.5,4.170898032
Michigan,0.67,4.170845716
Michigan,0.75,4.253981324
Minnesota,0,0.845545282
Minnesota,0.25,1.698618284
Minnesota,0.33,1.13654972
Minnesota,0.5,1.13654972
Minnesota,0.67,1.13654972
Minnesota,0.75,1.13654972
Mississippi,0,1.117461328
Mississippi,0.25,1.117461332
Mississippi,0.33,2.312139288
Mississippi,0.5,1.330399713
Mississippi,0.67,1.330399143
Mississippi,0.75,1.330399143
Missouri,0,0.714975755
Missouri,0.25,1.539245473
Missouri,0.33,1.500409878
Missouri,0.5,1.500358681
Missouri,0.67,1.34689769
Missouri,0.75,1.34689769
Montana,0,0.583818866
Montana,0.25,0.497167023
Montana,0.33,1.778412776
Montana,0.5,1.778411836
Montana,0.67,1.778410997
Montana,0.75,1.77841099
Nebraska,0,1.198532572
Nebraska,0.25,1.737390822
Nebraska,0.33,2.399595571
Nebraska,0.5,2.399595571
Nebraska,0.67,2.191094274
Nebraska,0.75,2.191094274
Nevada,0,0.845994021
Nevada,0.25,1.024222047
Nevada,0.33,0.971525504
Nevada,0.5,0.997694746
Nevada,0.67,0.982166679
Nevada,0.75,0.907439066
New Hampshire,0,1.46388362
New Hampshire,0.25,1.956467155
New Hampshire,0.33,1.956467164
New Hampshire,0.5,1.727002314
New Hampshire,0.67,1.982417334
New Hampshire,0.75,1.982417334
New Jersey,0,1.226730331
New Jersey,0.25,1.47025019
New Jersey,0.33,2.000823718
New Jersey,0.5,1.520528395
New Jersey,0.67,1.576062437
New Jersey,0.75,1.576063788
New Mexico,0,1.547940506
New Mexico,0.25,5.024184939
New Mexico,0.33,4.485606303
New Mexico,0.5,3.750654518
New Mexico,0.67,2.545118522
New Mexico,0.75,2.545118522
New York,0,1.2729372
New York,0.25,1.7666066
New York,0.33,1.709846372
New York,0.5,2.140037241
New York,0.67,3.773420377
New York,0.75,3.773420377
New York City,0,1.776188
New York City,0.25,2.025617656
New York City,0.33,2.146344472
New York City,0.5,2.167556839
New York City,0.67,2.533068471
New York City,0.75,5.747143808
North Carolina,0,0.983097792
North Carolina,0.25,1.554694565
North Carolina,0.33,1.984019563
North Carolina,0.5,1.24828109
North Carolina,0.67,3.525519562
North Carolina,0.75,3.525526924
North Dakota,0,2.001239905
North Dakota,0.25,2.001239905
North Dakota,0.33,2.001239905
North Dakota,0.5,3.114176592
North Dakota,0.67,3.114176592
North Dakota,0.75,3.114176592
Ohio,0,1.578012665
Ohio,0.25,2.962819329
Ohio,0.33,1.801061663
Ohio,0.5,3.660278334
Ohio,0.67,7.240265837
Ohio,0.75,9.480991826
Oklahoma,0,1.038603571
Oklahoma,0.25,2.15738688
Oklahoma,0.33,2.15738688
Oklahoma,0.5,2.15738688
Oklahoma,0.67,1.027948857
Oklahoma,0.75,1.027948857
Oregon,0,1.845767389
Oregon,0.25,2.207898346
Oregon,0.33,2.176776777
Oregon,0.5,4.116725104
Oregon,0.67,4.116804966
Oregon,0.75,4.116807411
Pennsylvania,0,0.67912291
Pennsylvania,0.25,1.080093407
Pennsylvania,0.33,1.370732924
Pennsylvania,0.5,0.87515853
Pennsylvania,0.67,1.165515947
Pennsylvania,0.75,3.076114603
Puerto Rico,0,3.111816324
Puerto Rico,0.25,4.521899154
Puerto Rico,0.33,4.521899154
