YEARWEEK,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,New York City,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming
201539,2.15379,0.505689,0.736351,0.2574,1.21246,0.394777,0.448632,0,0,0.381893,1.40799,1.89255,0.30722,1.28036,1.21769,0.967742,1.2293,0.0502581,1.79191,0.536033,1.24585,0.407127,0.281641,0.815059,2.19729,0.908785,0.0581734,1.19403,1.30785,0.0653595,1.44609,0.931677,0.426954,1.23467,1.11747,0.087108,0.57026,1.06336,0.283587,1.00901,3.79198,0.12747,0.283086,0.34662,0.411219,2.17404,1.03753,0.806452,1.48148,1.31923,0.911577,0.771431,1.30351,0.227964
201540,2.58875,0.627353,1.23609,1.14799,1.38064,0.51656,1.0157,0.0994777,0,0.720702,1.4234,2.33303,0.404263,1.63805,0.923388,0.433735,1.12164,0.236898,1.81531,1.1742,1.09231,0.790429,0.679905,0.597213,2.15856,1.11897,0.129618,0.428878,0.62855,0.0828672,0.896943,0.971393,0.588433,1.23738,0.835925,0.60652,0.54476,0.937038,0.609618,1.30656,3.35556,0.110072,0.539773,0.981962,0.734619,3.1748,1.05777,0.222519,1.11421,1.33996,0.441684,1.02553,1.89587,0.418318
201541,2.48819,1.17302,1.44689,0.863984,1.5661,0.62028,0.805524,0.0235738,0.108932,0.72162,1.17165,1.79028,0.354484,1.7586,1.1695,0.28746,1.02605,0.307777,1.81375,0.893655,0.792553,0.643767,0.682377,1.17073,2.57163,1.26363,0.110092,0.451722,0.397966,0.17753,0.608305,0.906883,0.557203,1.37565,1.28871,0.211119,0.650656,2.1645,0.889757,1.50744,2.96902,0.145864,0.874568,0.928495,0.604789,3.42995,1.05639,0.295334,1.79949,1.50892,0.730327,0.978325,1.7285,0.416336
201542,2.31635,0.982659,1.49271,0.997208,1.50411,0.528659,0.963763,0.0697188,0.487805,0.672454,1.03207,1.30685,0.609989,1.6042,1.07755,0.630473,1.05094,0.318249,2.04177,1.09129,1.44368,0.733375,0.655234,0.78125,2.59902,1.60311,0.286328,0.498287,0.488183,0.137426,0.605908,1.16146,0.85962,1.48518,1.24048,0.232739,0.572453,2.18176,0.801527,1.61744,4.26033,0.23129,1.06744,0.818172,0.757878,3.63057,1.22651,0.486174,1.03896,1.7641,0.349592,1.31689,1.82971,0.541691
201543,2.19702,0.531601,1.80696,0.845899,1.61772,0.440744,1.42061,0.123885,2.58663,0.678745,0.847821,1.5625,0.576271,1.77543,1.18121,0.285714,1.20738,0.423318,1.86562,1.03147,1.44254,0.589921,0.722036,0.831601,2.55443,1.13927,0.059453,0.331583,0.689338,0.20979,0.426487,0.995633,0.816171,1.45772,1.40775,0.160128,0.589923,2.18795,0.816957,1.35201,3.55441,0.231099,1.67598,1.01793,0.642475,3.84937,1.12832,0.445633,1.01781,1.54868,0.970874,1.07118,1.56403,0.540324
201544,2.31715,0.947867,1.87283,0.967296,1.73589,0.359595,1.79143,0.204918,5.83764,0.770977,1.07349,2.18274,0.443383,1.79698,1.10347,0.559763,1.60356,0.494734,1.92489,1.08696,1.43698,0.667916,0.835379,1.2874,2.38468,1.44876,0.193299,0.489663,0.660979,0.240385,0.744961,1.20291,0.655665,1.44121,1.17667,0.405268,0.736329,2.13297,0.660981,1.3918,4.98901,0.26852,1.27774,1.20166,0.698991,3.47839,1.51484,0.891651,1.29534,1.65955,0.426667,1.41249,1.62839,0.666159
201545,2.20919,1.1213,1.80418,1.07014,1.80813,0.389206,1.07817,0.167866,4.2378,0.794824,1.01664,1.69851,0.673759,2.01816,1.221,0.498398,1.44268,0.492591,2.1096,1.35762,1.44607,0.672289,0.816032,1.10984,2.73615,1.6603,0.23488,0.565771,0.663507,0.209809,0.430005,1.45063,0.723665,1.50803,0.972206,0.423131,0.959362,3.17486,1.81065,1.55583,3.60957,0.187138,1.74586,1.09203,0.587774,3.86243,1.5367,0.925926,0.746269,1.67621,0.401914,1.44617,1.56006,0.801443
201546,2.64504,0.715746,1.84161,1.25613,2.14097,0.513322,1.1393,0.273496,6.85539,0.873933,1.25685,1.47727,0.439932,1.89498,1.19584,0.525164,1.40774,0.52279,2.19967,0.985137,1.68539,0.645367,0.781501,1.49593,3.16855,1.18776,0.0518135,0.921788,0.49005,0.279525,0.652884,1.46879,1.18498,1.68278,1.17183,0.342466,0.645642,2.25944,1.33049,1.55956,3.39426,0.186335,1.61504,1.05796,0.939368,3.96778,1.60466,0.764818,0.911458,1.90304,0.402857,1.01986,1.61699,0.429185
201547,3.50323,0.721154,1.88987,1.21043,2.39866,0.659051,1.69643,0.261292,7.21118,1.12474,1.55757,2.48344,1.07204,2.04812,1.48581,0.344531,1.58172,0.58523,2.43487,0.688249,2.64002,0.869205,0.754856,1.94823,3.37755,1.86682,0.195084,0.697293,0.844991,0.10772,0.672043,2.27843,0.97867,1.78267,1.56315,0,0.768743,4.18859,1.72911,1.97417,4.11695,0.213276,1.62472,1.50154,1.23581,4.81392,2.05614,1.22599,0.67659,2.17016,0.261584,1.24273,2.01622,0.708174
201548,2.45363,1.32114,2.40085,1.0763,2.02273,0.515759,0.956304,0.148588,5.67077,0.913745,1.11751,2.1764,0.681431,2.04212,0.891104,0.399113,1.41036,0.607979,2.28758,1.06572,2.11117,0.793021,0.653595,0.920578,3.32872,1.20617,0.13031,0.350263,0.721364,0.463897,0.987224,1.29126,1.1818,2.05034,1.55678,0.335196,0.622169,2.93651,1.7094,1.56455,4.06746,0.209407,1.59563,1.21327,0.953007,4.43529,1.29138,1.30409,1.30208,2.07325,0.285497,1.30868,1.53918,0.625809
